tiempo,frac_inf_acum,frac_inf_act
39744,0.01,0.01
39780,0.01,0.01
39816,0.01,0.01
39852,0.01,0.01
39888,0.01,0.01
39924,0.01,0.01
39960,0.01,0.01
39996,0.01,0.01
40032,0.01,0.01
40068,0.01,0.01
40104,0.01,0.01
40140,0.01,0.01
40176,0.01,0.01
40212,0.01,0.01
40248,0.01,0.01
40284,0.01,0.01
40320,0.01,0.01
40356,0.01,0.01
40392,0.01,0.01
40428,0.01,0.01
40464,0.01,0.01
40500,0.01,0.01
40536,0.01,0.01
40572,0.01,0.01
40608,0.01,0.01
40644,0.01,0.01
40680,0.01,0.01
40716,0.01,0.01
40752,0.01,0.01
40788,0.01,0.01
40824,0.01,0.01
40860,0.01,0.01
40896,0.01,0.01
40932,0.01,0.01
40968,0.01,0.01
41004,0.01,0.01
41040,0.01,0.01
41076,0.01,0.01
41112,0.01,0.01
41148,0.01,0.01
41184,0.01,0.01
41220,0.01,0.01
41256,0.01,0.01
41292,0.01,0.01
41328,0.01,0.01
41364,0.01,0.01
41400,0.01,0.01
41436,0.01,0.01
41472,0.01,0.01
41508,0.01,0.01
41544,0.01,0.01
41580,0.01,0.01
41616,0.01,0.01
41652,0.01,0.01
41688,0.01,0.01
41724,0.01,0.01
41760,0.01,0.01
41796,0.01,0.01
41832,0.01,0.01
41868,0.01,0.01
41904,0.01,0.01
41940,0.01,0.01
41976,0.01,0.01
42012,0.01,0.01
42048,0.01,0.01
42084,0.01,0.01
42120,0.01,0.01
42156,0.01,0.01
42192,0.01,0.01
42228,0.01,0.01
42264,0.01,0.01
42300,0.01,0.01
42336,0.01,0.01
42372,0.01,0.01
42408,0.01,0.01
42444,0.01,0.01
42480,0.01,0.01
42516,0.01,0.01
42552,0.01,0.01
42588,0.01,0.01
42624,0.01,0.01
42660,0.01,0.01
42696,0.01,0.01
42732,0.01,0.01
42768,0.01,0.01
42804,0.01,0.01
42840,0.01,0.01
42876,0.01,0.01
42912,0.01,0.01
42948,0.01,0.01
42984,0.01,0.01
43020,0.01,0.01
43056,0.01,0.01
43092,0.01,0.01
43128,0.01,0.01
43164,0.01,0.01
43200,0.01,0.01
43236,0.01,0.01
43272,0.01,0.01
43308,0.01,0.01
43344,0.01,0.01
43380,0.01,0.01
43416,0.01,0.01
43452,0.01,0.01
43488,0.01,0.01
43524,0.01,0.01
43560,0.01,0.01
43596,0.01,0.01
43632,0.01,0.01
43668,0.01,0.01
43704,0.01,0.01
43740,0.01,0.01
43776,0.01,0.01
43812,0.01,0.01
43848,0.01,0.01
43884,0.01,0.01
43920,0.01,0.01
43956,0.01,0.01
43992,0.01,0.01
44028,0.01,0.01
44064,0.01,0.01
44100,0.01,0.01
44136,0.01,0.01
44172,0.01,0.01
44208,0.01,0.01
44244,0.01,0.01
44280,0.01,0.01
44316,0.01,0.01
44352,0.01,0.01
44388,0.01,0.01
44424,0.01,0.01
44460,0.01,0.01
44496,0.01,0.01
44532,0.01,0.01
44568,0.01,0.01
44604,0.01,0.01
44640,0.01,0.01
44676,0.01,0.01
44712,0.01,0.01
44748,0.01,0.01
44784,0.01,0.01
44820,0.01,0.01
44856,0.01,0.01
44892,0.01,0.01
44928,0.01,0.01
44964,0.01,0.01
45000,0.01,0.01
45036,0.01,0.01
45072,0.01,0.01
45108,0.01,0.01
45144,0.01,0.01
45180,0.01,0.01
45216,0.01,0.01
45252,0.01,0.01
45288,0.01,0.01
45324,0.01,0.01
45360,0.01,0.01
45396,0.01,0.01
45432,0.01,0.01
45468,0.01,0.01
45504,0.01,0.01
45540,0.01,0.01
